tag_id,tag_name,tag_category,pubchem_classification,mesh_id
6,"A major ingredient of pine oil disinfectants; Used as a fragrance in perfumes and soaps, fat denaturant for soap manufacturing, synthetic flavoring agent, organic solvent, antioxidant, and antiseptic; [HSDB]; Using Disinfectants or Biocides [Category: Cle",use_and_manufacturing,Uses,
8,"Used as a monomer to manufacture polyisoprene and butyl rubber; [HSDB]; Almost all isoprene produced is used for the preparation of polymers or copolymers. cis-Polyisoprene is the largest application with SIS block polymers a secondary application, and bu",use_and_manufacturing,Uses,
9,"Used in flavorings, fragrances, and cosmetics and as a solvent and wetting agent; Also used to make resins, insecticides, insect repellants, and animal repellants; [HSDB]; Metal Degreasing [Category: Clean]; Smoking cigarettes [Category: Food & Drugs]; Fo",use_and_manufacturing,Uses,
10,"Used in artificial essential oils and to make (+)-carvone; Occurs naturally in essential oils of pine, peppermint, spearmint, and other plants; A minor constituent of turpentine; [CHEMINFO] Used in flavorings, fragrances, cosmetics and as a solvent and we",use_and_manufacturing,Uses,
11,CIR ingredient: Retinol; Essential micronutrient found in animals; [Merck Index] Used as a nutritional supplement for foods; [FDA] Permitted for use as an inert ingredient in non-food pesticide products; [EPA]; Vitamin (antixerophthalmic); MEDICATION; MED,use_and_manufacturing,Uses,
12,"CIR ingredient: Squalene; Present in large quantities in shark liver oil, and in minute amounts in olive oil, wheat germ oil, rice bran oil, and yeast; An intermediate in the biosynthesis of cholesterol; Used as a bactericide, and as an intermediate for p",use_and_manufacturing,Uses,
13,experimental ... possesss antitumor-promoting effects,use_and_manufacturing,Uses,
14,"Lycopene is the most effective singlet oxygen scavenger in vitro of all the carotenoids. Foods that contain lycopene and related supplements have been reported to prevent chronic diseases including cancer, asthma, and cardiovascular disorders.; In vitro a",use_and_manufacturing,Uses,
15,Food additives; Food Additives -> COLOUR;  -> JECFA Functional Classes; Cosmetics -> Cosmetic colorant,use_and_manufacturing,Uses,
16,"The carotenoid pigment astaxanthin has important applications in the nutraceutical, cosmetics, food and feed industries.; Astaxanthin is a carotenoid widely used in salmonid and crustacean aquaculture to provide the pink color characteristic of that speci",use_and_manufacturing,Uses,
17,A metabolite of Gibberella fujikuroi that promotes plant growth; [Merck Index] Used as plant growth regulator to improve various qualities of many fruits and vegetables and to improve enzymatic characteristics of barley malting; [HSDB] Naturally occurring,use_and_manufacturing,Uses,
18,"Used in copolymerization and to make resins, plasticizers, and lube oil additives; [HSDB] Used as a comonomer in the production of acrylic fibers and latex; [eChemPortal: SIDSUNEP]; COPOLYMERIZATIONS; RESINS; PLASTICIZERS; LUBE OIL ADDITIVES; INTERMEDIATE",use_and_manufacturing,Uses,
19,"This is an endogenously produced metabolite found in the human body. It is used in metabolic reactions, catabolic reactions or waste generation.",use_and_manufacturing,Uses,
20,"Occurs in storax, balsam of Peru, oil of cinnamon, and coca leaves (trans isomer); Used as a fragrance and flavoring agent; [Merck Index]; The trans- isomer is found in storax, balsam of Peru, oil of cinnamon, and coca leaves; Used as a fragrance and flav",use_and_manufacturing,Uses,
21,"CIR ingredient: Adipic Acid; Used to make nylon, polyurethane foams, lubricants, and plasticizers; Used in adhesives, baking powder, and food flavoring; [ACGIH]; The major markets for adipic acid include use as feedstocks for nylon 6,6 resins and fibers, ",use_and_manufacturing,Uses,
22,Use (kg; approx.) in Germany (2009): >25; Consumption (g per capita; approx.) in Germany (2009): 0.000305; Calculated removal (%): 92.1,use_and_manufacturing,Uses,
23,CIR ingredient: Tyrosine; Non-essential amino acid; Used in biochemical research; [Merck Index] Used as a flavoring agent and nutritional supplement; [FDA]; NUTRIENT &/OR DIETARY SUPPLEMENT; Use (kg; approx.) in Germany (2009): >750; Consumption (g per ca,use_and_manufacturing,Uses,
24,"CIR ingredient: Lysine; An essential amino acid; Added to cereals and feeds; [Merck Index] Used in biochemical and nutritional research, pharmaceuticals, culture media, dietary supplements, and animal feeds; [HSDB] Used as a flavoring agent for foods; [FD",use_and_manufacturing,Uses,
25,"CIR ingredient: Tryptophan; An essential amino acid; Used in biochemical research; [Merck Index] Used as a nutritional supplement for foods; [FDA] Used as a dietary supplement, for research, cereal enrichment, and as a medication; [HSDB] Permitted for use",use_and_manufacturing,Uses,
26,"Caprolactam is primarily used in the manufacture of synthetic fibers (especially Nylon 6). Caprolactam is also used in brush bristles, textile stiffeners, film coatings, synthetic leather, plastics, plasticizers, paint vehicles, cross-linking for polyuret",use_and_manufacturing,Uses,
