product_id,pubchem_cid,iupac_name,functional_description,sync_failed,sync_failed_reason,last_sync_attempt,last_sync_success
1,17100,2-(4-methylcyclohex-3-en-1-yl)propan-2-ol,Alpha-terpineol is a terpineol that is propan-2-ol substituted by a 4-methylcyclohex-3-en-1-yl group at position 2. It has a role as a plant metabolite.,0,,2026-03-23 22:50:52.105877,2026-04-20 23:34:33
2,46173837,"(1R,3S,4R,7S,8Z,11S,12R)-12-[(1S)-1,5-dimethylhex-4-enyl]-1,4,8-trimethyl-tricyclo[9.3.0.03,7]tetradec-8-en-4-ol","Ophiobolin F is a sesterterpenoid that is (7Z)-ophiobola-7,19-diene carrying a hydroxy substituent at position 3. It has a role as a fungal metabolite. It is a sesterterpenoid, a tertiary alcohol and a carbotricyclic compound.",0,,2026-03-23 22:51:07.445305,2026-03-23 22:51:12.803628
3,,,,1,未找到匹配的PubChem化合物,2026-03-25 22:55:37.709236,
4,139585827,"(1R,3S,4R,6R,7S,11S,12R)-12-[(1S)-1,5-dimethylhexa-2,4-dienyl]-4,6-dihydroxy-1,4-dimethyl-tricyclo[9.3.0.03,7]tetradec-8-ene-8-carbaldehyde",Ophiobolin U is a sesterterpenoid.,0,,2026-03-23 22:51:15.592111,2026-03-23 22:51:20.966265
5,,,,1,未找到匹配的PubChem化合物,2026-03-25 22:55:45.959896,
6,,,,1,未找到匹配的PubChem化合物,2026-03-25 22:55:48.059307,
7,6557,"2-methylbuta-1,3-diene",Isoprene can cause cancer according to The World Health Organization's International Agency for Research on Cancer (IARC).,0,,2026-03-23 22:51:25.672519,2026-04-20 23:34:40
8,440917,(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene,(4R)-limonene is an optically active form of limonene having (4R)-configuration. It has a role as a plant metabolite. It is an enantiomer of a (4S)-limonene.,0,,2026-03-23 22:51:53.229777,2026-04-20 23:34:42
9,439250,(4S)-1-methyl-4-prop-1-en-2-ylcyclohexene,(4S)-limonene is an optically active form of limonene having (4S)-configuration. It is an enantiomer of a (4R)-limonene.,0,,2026-03-23 22:52:05.398135,2026-04-20 23:34:44
12,,,,1,"('Connection aborted.', ConnectionAbortedError(10053, '你的主机中的软件中止了一个已建立的连接。', None, 10053, None))",2026-03-25 22:56:07.207290,
13,,,,1,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/name/%CE%B2-Farnesene/cids/JSON (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_E",2026-03-25 22:56:25.313070,
14,,,,1,未找到匹配的PubChem化合物,2026-03-25 22:56:41.373693,
15,,,,1,"HTTPSConnectionPool(host='pubchem.ncbi.nlm.nih.gov', port=443): Max retries exceeded with url: /rest/pug/compound/name/%CE%B1-Santalene/cids/JSON (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_E",2026-03-25 22:56:43.411951,
16,,,,1,未找到匹配的PubChem化合物,2026-03-25 22:56:59.463801,
17,,,,1,未找到匹配的PubChem化合物,2026-03-25 22:57:23.559359,
18,,,,1,未找到匹配的PubChem化合物,2026-03-25 22:57:25.950415,
22,5280896,"(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxo-cyclohex-2-en-1-yl]-3-methyl-penta-2,4-dienoic acid",(+)-abscisic acid is the naturally occurring (1'S)-(+) enantiomer of abscisic acid. It is an important sesquiterpenoid plant hormone which acts as a regulator of plant responses to environmental stresses such as drought and cold. It has a role as a plant hormone and a plant metabolite. It is a conjugate acid of a (+)-abscisate. It is an enantiomer of a (-)-abscisic acid.,0,,2026-03-23 22:52:24.924830,2026-03-23 22:52:32.233833
23,445354,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraen-1-ol","All-trans-retinol is a retinol in which all four exocyclic double bonds have E- (trans-) geometry. It has a role as a mouse metabolite, a plant metabolite and a human metabolite. It is a vitamin A and a retinol.",0,,2026-03-23 22:52:33.244601,2026-04-20 23:34:52
24,638072,"(6E,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene","Squalene is a triterpene consisting of 2,6,10,15,19,23-hexamethyltetracosane having six double bonds at the 2-, 6-, 10-, 14-, 18- and 22-positions with (all-E)-configuration. It has a role as a mouse metabolite, a Saccharomyces cerevisiae metabolite, a plant metabolite and a human metabolite.",0,,2026-03-23 22:52:43.306434,2026-04-20 23:34:54
26,64971,"(1R,3aS,5aR,5bR,7aR,9S,11aR,11bR,13aR,13bR)-9-hydroxy-1-isopropenyl-5a,5b,8,8,11a-pentamethyl-1,2,3,4,5,6,7,7a,9,10,11,11b,12,13,13a,13b-hexadecahydrocyclopenta[a]chrysene-3a-carboxylic acid","Betulinic acid is a pentacyclic triterpenoid that is lupane having a double bond at position 20(29) as well as 3beta-hydroxy and 28-carboxy substituents. It is found in the bark and other plant parts of several species of plants including Syzygium claviflorum. It exhibits anti-HIV, antimalarial, antineoplastic and anti-inflammatory properties. It has a role as an antineoplastic agent, an antimalarial, an EC 5.99.1.3 [DNA topoisomerase (ATP-hydrolysing)] inhibitor, an anti-HIV agent, an anti-inflammatory agent and a plant metabolite. It is a pentacyclic triterpenoid and a hydroxy monocarboxylic acid. It derives from a hydride of a lupane.",0,,2026-03-23 22:52:50.764927,2026-03-23 22:52:59.027464
27,9920281,"(3S,5R,8R,9R,10R,12R,13R,14R,17S)-17-[(1R)-1-hydroxy-1,5-dimethyl-hex-4-enyl]-4,4,8,10,14-pentamethyl-2,3,5,6,7,9,11,12,13,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-3,12-diol",(20R)-protopanaxadiol is a diastereomer of protopanaxadiol in which the 20-hydroxy substituent has been introduced at the pro-R position.,0,,2026-03-23 22:53:00.037752,2026-03-23 22:53:07.028467
